Date-Time,Pressure (hPa),Temperature (°C),Roll,Pitch,Yaw ,X Acc (g),Y Acc (g),Z Acc (g),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Mag X (µT),Mag Y (µT),Mag Z (µT)
2021-10-17 17:23:08.95,1027.863037109375,37.86,7.5492471806202035,23.700076149666028,153.5046025827368,-0.01666259765625,-0.028564453125,1.020263671875,0.09146341463414635,0.030487804878048783,0.09146341463414635,-47.0,40.25,77.125
2021-10-17 17:23:09.25,1027.881591796875,37.85,7.271095914563516,23.773007448144444,152.17946893207767,-0.01556396484375,-0.0284423828125,1.01910400390625,0.06097560975609757,0.030487804878048783,0.09146341463414635,-51.25,40.0,79.25
2021-10-17 17:23:09.53,1027.895263671875,37.85,7.066340034060124,23.359843479428577,150.95737715388876,-0.0150146484375,-0.02880859375,1.01953125,0.06097560975609757,0.030487804878048783,0.0,-46.625,38.375,77.375
2021-10-17 17:23:09.81,1027.863037109375,37.85,6.844543716279061,23.372900353279423,149.61794774657707,-0.01641845703125,-0.027587890625,1.01922607421875,0.06097560975609757,0.09146341463414635,0.030487804878048783,-49.0,39.75,78.625
2021-10-17 17:23:10.10,1027.871826171875,37.85,6.520819903683789,23.183444248079965,148.3266566862859,-0.015625,-0.02911376953125,1.0196533203125,0.09146341463414635,0.030487804878048783,0.030487804878048783,-49.5,39.0,80.5
2021-10-17 17:23:10.39,1027.897216796875,37.82,6.218223989311783,23.85570458318251,146.69037452904615,-0.0150146484375,-0.02783203125,1.01904296875,0.06097560975609757,0.09146341463414635,0.0,-51.125,39.5,74.875
2021-10-17 17:23:10.68,1027.876220703125,37.8,5.736472919267554,24.2204317913445,145.12294351092925,-0.0147705078125,-0.028564453125,1.0194091796875,0.06097560975609757,0.06097560975609757,0.030487804878048783,-52.875,37.25,75.625
2021-10-17 17:23:10.98,1027.879150390625,37.8,5.412712341020121,23.99160773021616,143.73890507655258,-0.01513671875,-0.02764892578125,1.01953125,0.0,0.06097560975609757,0.06097560975609757,-49.75,36.25,75.75
2021-10-17 17:23:11.27,1027.869873046875,37.83,5.221754351698846,23.881422096767015,142.25011205233443,-0.01422119140625,-0.028076171875,1.0191650390625,0.030487804878048783,0.09146341463414635,0.030487804878048783,-49.375,38.625,76.125
2021-10-17 17:23:11.57,1027.89453125,37.83,4.719866804165594,23.861077741275633,140.77967421288537,-0.0150146484375,-0.02783203125,1.02099609375,0.12195121951219513,0.09146341463414635,0.030487804878048783,-51.5,34.75,76.0
2021-10-17 17:23:11.87,1027.869140625,37.81,4.651163128509783,23.629751269759304,139.25005048030872,-0.0155029296875,-0.0286865234375,1.01849365234375,0.0,0.030487804878048783,0.030487804878048783,-48.125,40.25,77.0
2021-10-17 17:23:12.15,1027.927001953125,37.79,4.317222756968057,23.461288334966305,137.73631395496028,-0.01568603515625,-0.02996826171875,1.01806640625,0.0,0.06097560975609757,0.09146341463414635,-47.75,36.125,74.25
2021-10-17 17:23:12.46,1027.878662109375,37.77,3.849163391436854,23.04986179242639,136.38746363778012,-0.014892578125,-0.028076171875,1.01812744140625,0.030487804878048783,0.06097560975609757,0.030487804878048783,-50.375,34.25,79.375
2021-10-17 17:23:12.75,1027.901611328125,37.74,3.5099037064420844,23.3325439378463,134.678763323295,-0.0155029296875,-0.02777099609375,1.017578125,0.09146341463414635,0.09146341463414635,0.06097560975609757,-48.5,35.625,72.375
2021-10-17 17:23:13.06,1027.883056640625,37.76,3.273434678340774,23.14272290257011,133.1082213217859,-0.015869140625,-0.02850341796875,1.01702880859375,0.06097560975609757,0.06097560975609757,0.030487804878048783,-49.375,37.875,77.625
2021-10-17 17:23:13.34,1027.877197265625,37.79,2.8922247122963203,22.925898154596563,131.5655900105161,-0.01580810546875,-0.030517578125,1.016845703125,0.0,0.06097560975609757,0.06097560975609757,-50.375,36.375,78.75
2021-10-17 17:23:13.64,1027.892333984375,37.79,2.683749680507371,22.704311407149916,129.94719829416238,-0.0145263671875,-0.02874755859375,1.0191650390625,0.06097560975609757,0.030487804878048783,0.030487804878048783,-48.125,38.125,77.125
2021-10-17 17:23:13.93,1027.86962890625,37.79,2.3106676406433517,22.48659389982034,128.39790261507,-0.01654052734375,-0.02825927734375,1.0181884765625,0.030487804878048783,0.09146341463414635,0.030487804878048783,-50.25,36.125,79.5
